"subject","trial","difference","difficulty","referenceSelection"
1,1,"moderate","easier",0
1,2,"moderate","easier",1
1,3,"moderate","easier",1
1,4,"moderate","easier",1
1,5,"moderate","easier",1
1,6,"moderate","easier",0
1,7,"moderate","easier",1
1,8,"moderate","easier",0
1,9,"moderate","easier",1
1,10,"moderate","easier",0
1,11,"moderate","easier",0
1,12,"moderate","easier",1
1,13,"moderate","easier",0
1,14,"moderate","easier",1
1,15,"moderate","easier",1
1,16,"moderate","easier",0
1,17,"moderate","easier",0
1,18,"moderate","easier",0
1,19,"moderate","easier",1
1,20,"moderate","easier",0
1,21,"moderate","easier",1
1,22,"moderate","easier",1
1,23,"moderate","easier",1
1,24,"moderate","easier",0
1,25,"moderate","easier",0
1,26,"moderate","easier",1
1,27,"moderate","easier",1
1,28,"moderate","easier",0
1,29,"moderate","easier",1
1,30,"moderate","easier",0
1,31,"moderate","easier",1
1,32,"moderate","easier",0
1,33,"moderate","easier",1
1,34,"moderate","easier",0
1,35,"moderate","easier",0
1,36,"moderate","easier",1
1,37,"moderate","easier",0
1,38,"moderate","easier",1
1,39,"moderate","easier",0
1,40,"moderate","easier",1
1,41,"moderate","easier",0
1,42,"moderate","easier",1
1,43,"moderate","easier",0
1,44,"moderate","easier",1
1,45,"moderate","easier",1
1,46,"moderate","easier",0
1,47,"moderate","easier",0
1,48,"moderate","easier",0
1,49,"moderate","easier",1
1,50,"moderate","easier",1
1,51,"moderate","easier",1
1,52,"moderate","easier",0
1,53,"moderate","easier",1
1,54,"moderate","easier",1
1,55,"moderate","easier",1
1,56,"moderate","easier",1
1,57,"moderate","easier",0
1,58,"moderate","easier",1
1,59,"moderate","easier",1
1,60,"moderate","easier",0
1,61,"moderate","easier",0
1,62,"moderate","easier",1
1,63,"moderate","easier",0
1,64,"moderate","easier",0
1,65,"moderate","easier",1
1,66,"moderate","easier",1
1,67,"moderate","easier",0
1,68,"moderate","easier",1
1,69,"moderate","easier",1
1,70,"moderate","easier",1
1,71,"moderate","easier",0
1,72,"moderate","easier",0
1,73,"moderate","easier",0
1,74,"moderate","easier",0
1,75,"moderate","easier",1
1,76,"moderate","easier",1
1,77,"moderate","easier",0
1,78,"moderate","easier",0
1,79,"moderate","easier",1
1,80,"moderate","easier",0
1,81,"moderate","easier",1
1,82,"moderate","easier",1
1,83,"moderate","easier",0
1,84,"moderate","easier",1
1,85,"moderate","easier",0
1,86,"moderate","easier",1
1,87,"moderate","easier",0
1,88,"moderate","easier",1
1,89,"moderate","easier",0
1,90,"moderate","easier",1
1,91,"moderate","easier",1
1,92,"moderate","easier",0
1,93,"moderate","easier",0
1,94,"moderate","easier",1
1,95,"moderate","easier",0
1,96,"moderate","easier",1
1,97,"moderate","easier",0
1,98,"moderate","easier",0
1,99,"moderate","easier",1
1,100,"moderate","easier",1
1,101,"moderate","easier",1
1,102,"moderate","easier",0
1,103,"moderate","easier",1
1,104,"moderate","easier",1
1,105,"moderate","easier",0
1,106,"moderate","easier",0
1,107,"moderate","easier",0
1,108,"moderate","easier",0
1,109,"moderate","easier",0
1,110,"moderate","easier",1
1,111,"moderate","easier",0
1,112,"moderate","easier",0
1,113,"moderate","easier",0
1,114,"moderate","easier",0
1,115,"moderate","easier",1
1,116,"moderate","easier",1
1,117,"moderate","easier",0
1,118,"moderate","easier",0
1,119,"moderate","easier",0
1,120,"moderate","easier",1
1,121,"moderate","easier",1
1,122,"moderate","easier",0
1,123,"moderate","easier",1
1,124,"moderate","easier",1
1,125,"moderate","easier",0
1,126,"moderate","easier",0
1,127,"moderate","easier",1
1,128,"moderate","easier",1
1,129,"moderate","easier",1
1,130,"moderate","easier",1
1,131,"moderate","easier",0
1,132,"moderate","easier",0
1,133,"moderate","easier",1
1,134,"moderate","easier",0
1,135,"moderate","easier",0
1,136,"moderate","easier",1
1,137,"moderate","easier",1
1,138,"moderate","easier",0
1,139,"moderate","easier",0
1,140,"moderate","easier",0
1,141,"moderate","easier",0
1,142,"moderate","easier",1
1,143,"moderate","easier",1
1,144,"moderate","easier",0
